Model,CV Accuracy,CV Accuracy Std,CV Sensitivity,CV Sensitivity Std,CV Specificity,CV Specificity Std,CV F1,CV F1 Std,CV ROC-AUC,CV ROC-AUC Std,Search Time (s)
Logistic Regression,0.824765581908439,0.021324152891971378,0.8696476964769648,0.030276631939413205,0.7687179487179487,0.07564573419101756,0.8462794415523417,0.01331250124281814,0.8871357659704543,0.0193336533335302,5.454437494277954
SVM,0.8139179996322854,0.02724653925373695,0.8622402890695573,0.03967148563423672,0.7534265734265734,0.09646389512105771,0.8373035213911623,0.017128892759597905,0.8886136326786733,0.02066388136082228,1.4725759029388428
Random Forest,0.8057271557271557,0.02112783092382528,0.8205058717253839,0.026186958823066996,0.7869463869463871,0.06968644430975214,0.8240303064201111,0.013510303730416232,0.8861336314994851,0.019530566224793943,39.93547797203064
XGBoost,0.8084482441625299,0.021439285873158385,0.8426076482987053,0.029207697343784686,0.7656876456876458,0.07135767346156707,0.8298234863459989,0.014212190526972009,0.8840178450476553,0.017267640092862836,9.788272857666016
