Model,Accuracy,Sensitivity,Specificity,Precision,F1 Score,ROC-AUC,Training Time (s),True Negatives,False Positives,False Negatives,True Positives
Logistic Regression,0.842391304347826,0.8823529411764706,0.7926829268292683,0.8411214953271028,0.861244019138756,0.90363462458154,0.10171675682067871,65,17,12,90
SVM,0.842391304347826,0.9313725490196079,0.7317073170731707,0.811965811965812,0.867579908675799,0.9121233859397418,0.09693193435668945,60,22,7,95
Random Forest,0.8586956521739131,0.9019607843137255,0.8048780487804879,0.8518518518518519,0.8761904761904762,0.9238402678144428,0.7247850894927979,66,16,10,92
XGBoost,0.8532608695652174,0.9117647058823529,0.7804878048780488,0.8378378378378378,0.8732394366197183,0.8998087039693927,0.7479593753814697,64,18,9,93
