Model,Accuracy,Sensitivity,Specificity,Precision,F1 Score,ROC-AUC,Training Time (s),True Negatives,False Positives,False Negatives,True Positives
Logistic Regression,0.9649122807017544,0.9285714285714286,0.9861111111111112,0.975,0.9512195121951219,0.996031746031746,0.050684213638305664,71,1,3,39
SVM,0.9736842105263158,0.9285714285714286,1.0,1.0,0.9629629629629629,0.9947089947089947,0.024941682815551758,72,0,3,39
Random Forest,0.9736842105263158,0.9285714285714286,1.0,1.0,0.9629629629629629,0.9980158730158729,0.45249223709106445,72,0,3,39
XGBoost,0.9736842105263158,0.9285714285714286,1.0,1.0,0.9629629629629629,0.9920634920634921,0.6430609226226807,72,0,3,39
