Model,CV Accuracy,CV Accuracy Std,CV Sensitivity,CV Sensitivity Std,CV Specificity,CV Specificity Std,CV F1,CV F1 Std,CV ROC-AUC,CV ROC-AUC Std,Search Time (s)
Logistic Regression,0.9736263736263737,0.014906219743132443,0.9529411764705882,0.03989605872426629,0.9859649122807017,0.0171894017037416,0.9640480895915677,0.020700447685741707,0.9958720330237357,0.004649692601060392,5.407222032546997
SVM,0.9736263736263737,0.011206636293610508,0.9529411764705882,0.03989605872426629,0.9859649122807017,0.0171894017037416,0.9640443814243295,0.01606202709376378,0.9959752321981423,0.004309724049085829,0.8213605880737305
Random Forest,0.9582417582417582,0.02014318986793774,0.9529411764705882,0.029994232432898744,0.9614035087719298,0.020459480332790513,0.9446582214975543,0.0264768690255697,0.9901960784313724,0.005499654321764365,40.231518030166626
XGBoost,0.9736263736263737,0.008791208791208798,0.9588235294117646,0.014408763192842228,0.982456140350877,0.011095711088310103,0.9645264724968508,0.011799354258199182,0.9948400412796697,0.002973139378924221,17.910481452941895
